clean_comments,Replies,Likes
Atleast This Guy is Speaking Some real shit.... But in my Country (India) no artist Has this much of Guts to express the problems in our Society.....,0,0
where's abed? (Community),0,1
"please check, this is very beautiful
 https://instagram.com/the_branz_stone?igshid=1dvapipbuqctc",0,0
Black are mo racist than white tho,0,0
Why I don't understand the song ?,0,0
Do not be deceived by demon time anthems & antics. The torture & torment they inflict on themselves is a real terror they do not enjoy. Nevertheless these individuals have obviously/knowingly sold/enslaved their souls to satan/the prince of the air/the fallen one for temporary fame/fortune on earth with damnable intentions of spending eternity with the great dragon in the most flaming hot fire for eternity.....,0,0
Should have been Donald Trump's theme song on his way out 100%,0,0
He's      crazy,0,0
"If you're reading this,






you can read.",0,0
Every time I see Donald shirtless in community my mind instantly goes to this song,0,0
This song is so relevent these days. #BLM,0,0
what a shit,0,0
"he made this song 2 years ago for fun




right now: FUCK HE RIGHT",0,0
"And BBC Heard This Is "" INDIA """,0,1
Meanwhile BCC : I didn't See This,0,1
"Video- exist

Comments- *this is America*",0,0
Remember when this came out and everyone was shook and now it’s just normal lmao,0,2
This song is actually a masterpiece. Art is the best way to convey message,0,2
I just realized that young thug and 21 savage were in the song lol,0,0
I wonder if the boys back in the Derrick comedy days expected this...,0,0
Prays for Perú please #GOOUTMERINOCTMR ,0,0
You must first take responsibility for yourselves then you can demand responsibility from everyone else.,0,0
Make america a great place again,0,1
Love it,0,0
This many dislikes is proof that this is america,0,0
"In America 
This song works whenever",0,0
This man is so under rated !,0,1
"This is niggah be lookin like mae daddy 
 I can't breathe 
No justice no peace 
Justice for Trayvon 
Say his name 
Black lives matter",0,1
This Is Lando,0,0
Who unlike this video are trumpies,0,0
When he shot the choir it gave me a jumpscare lol,0,1
This is Karen's theme song.,0,1
"Grandpa what music videos did you have when you’re we’re  young 

Me: Sit down grandchild I’m gonna show you something great",0,2
"Oh wow, this MV never getting out huh?",0,1
This song hits different now....,0,2
2 years later and america is still the same... ThIs Is A fReE cOuNtRy,0,29
This song predicted the Black Lives Matter protests.,0,3
did they predict the black lives matter?,0,0
White America,0,1
"Fun fact : every comment that includes the phrase ""this is America"" has 10k likes",0,0
"Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away
Yeah, yeah, yeah, yeah, yeah
Yeah, yeah, yeah, go, go away

We just wanna party
Party just for you
We just want the money
Money just for you
I know you wanna party (yeah)
Party just for free
Girl, you got me dancin' (girl, you got me dancin')
Dance and shake the frame
We just wanna party (yeah)
Party just for you (yeah)
We just want the money (yeah)
Money just for you (ooh)
I know you wanna party (yeah)
Party just for free (yeah)
Girl, you got me dancin' (girl, you got me dancin')
Dance and shake the frame (ooh)

This is America
Don't catch you slippin' now
Don't catch you slippin' now
Look what I'm whippin' now
This is America (woo)
Don't catch you slippin' now
Don't catch you slippin' now
Look what I'm whippin' now

This is America (skrrt, skrrt, woo)
Don't catch you slippin' now (ayy)
Look at how I'm livin' now
Police be trippin' now (woo)
Yeah, this is America (woo, ayy)
Guns in my area (word, my area)
I got the strap (ayy, ayy)
I gotta carry 'em
Yeah, yeah, I'ma go into this (ugh)
Yeah, yeah, this is guerilla, woo
Yeah, yeah, I'ma go get the bag
Yeah, yeah, or I'ma get the pad
Yeah, yeah, I'm so cold like yeah (yeah)
I'm so dope like yeah (woo)
We gon' blow like yeah (straight up, uh)

Ooh-ooh-ooh-ooh-ooh, tell somebody
You go tell somebody
Grandma told me
Get your money, black man (get your money)
Get your money, black man (get your money)
Get your money, black man (get your, black man)
Get your money, black man (get your, black man)
Black man

This is America (woo, ayy)
Don't catch you slippin' now (woo, woo, don't catch you slippin', now)
Don't catch you slippin' now (ayy, woah)
Look what I'm whippin' now (Slime!)
This is America (yeah, yeah)
Don't catch you slippin' now (woah, ayy)
Don't catch you slippin' now (ayy, woo)
Look what I'm whippin' now (ayy)

Look how I'm geekin' out (hey)
I'm so fitted (I'm so fitted, woo)
I'm on Gucci (I'm on Gucci)
I'm so pretty (yeah, yeah)
I'm gon' get it (ayy, I'm gon' get it)
Watch me move (blaow)
This a celly (ha)
That's a tool (yeah)
On my Kodak (woo, Black)
Ooh, know that (yeah, know that, hold on)
Get it (get it, get it)
Ooh, work it (21)
Hunnid bands, hunnid bands, hunnid bands (hunnid bands)
Contraband, contraband, contraband (contraband)
I got the plug on Oaxaca (woah)
They gonna find you like blocka (blaow)

Ooh-ooh-ooh-ooh-ooh, tell somebody
(America, I just checked my following list and)
You go tell somebody
(You mothafuckas owe me)
Grandma told me
Get your money, black man (black man)
Get your money, black man (black man)
Get your money, black man (black man)
Get your money, black man (black man)
Black man (one, two, three, get down)

Ooh-ooh-ooh-ooh-ooh, tell somebody
You go tell somebody
Grandma told me, ""Get your money, "" black man
Get your money, black man (black man)
Get your money, black man (black man)
Get your money, black man (black man)
Black man

You just a black man in this world
You just a barcode, ayy
You just a black man in this world
Drivin' expensive foreigns, ayy
You just a big dawg, yeah
I kenneled him in the backyard
No proper life to a dog
For a big dog

Thank me later",0,0
Imagine the guy singing is Cory,0,1
this is what troy has been up to since he left college,0,1
Donald will be the president to lead us . 2040,0,0
I think this song predicted the BLM protests.,1,1
