Comment,Initial Reply,Replies,Likes
"Where have the people saying ""this song is now more relevant than ever"" been the last hundred years? More relevant than ever? This song was always relevant - this is just another tragic example in a history filled with them. Be better America... this is f***ing tragic to look at",Huge facts,25,1765
2020 someone? very niceee !!,yes 2020 trash,18,521
"No one:

Childish gambino’s spine: ➡️↗️⬇️⬆️⬅️↙️↖️⤴️↩️⤵️🔄","@Extraterrestrial it's a joke, shut yo sensitive ass up",387,73846
"Childish Gambino: 'Shoots someone' ""This is America""


America: You weren't supposed to do that",Oop- :face_with_hand_over_mouth::flushed_face::raised_back_of_hand:,206,40329
"Me: brings bulletproof shield to school
Teacher: “why”
Me: “ ThIs Is AmErIcA”",LOL,269,52237
"* _This video is blocked in your country_ *

VPN: *This Is America*",vpn hello there~,434,117981
"""Google whats the definition of america?""

Google: *Plays this is america""",You make me laugh,11,1647
"Damn, this guy looks a lot like Donald glover",He is Donald Glover :rolling_on_the_floor_laughing::rolling_on_the_floor_laughing::rolling_on_the_floor_laughing:,500,50952
We should play this when there is world war 3,"IM MR CONTAGIOUS you are righttt lol :face_with_tears_of_joy: so they can we will need sum speakers
so the enemies can hear the noise :rolling_on_the_floor_laughing:",26,1672
"No-one:
Not even a single soul:
America: *gun*",Yup,5,70
Remember when this came out and everyone was shook and now it’s just normal lmao,They hated Jesus for he spoke the truth,344,59424
"Dear stranger, whoever reads this: may your parents live over 100 years.",Jamer Mark hey dude they better,360,20671
"Is this the Krusty Krab?

No this is America.",Ahahahahshdgahdhx:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy::hundred_points::hundred_points::fire::fire::B_button_(blood_type)_selector::B_button_(blood_type)_selector::B_button_(blood_type)_selector::B_button_(blood_type)_selector::chequered_flag::check_mark::multiplication_sign::wheelchair_symbol::baby_symbol::wheelchair_symbol:,74,9368
"Plot twist: those weren’t the prop guns...







This is america",You can still use a real firearm on set and be safe provided the right steps and rules are made and followed,27,4319
"*This is America*


Me: Yes this IS in fact America",Yes... America is in fact made of American America,111,18219
"Not Just Floyd,.. There is plenty of innocent people who were murdered in traffic check, looking suspicious in front yard and all we want justice for all of them.",This is just one of the few instances there's enough evidence to be sure the police had no right.,24,1861
I just changed the comment so the replies wouldn’t make sense,I have a chair made in Vietnam and a pocket knife made in the U$,83,6806
This film only has 6 shots. So does a revolver.,Oh shit just realized,1,16
"Oil: What is this place?

USA: This is America",your country  is north america,63,9244
"Donald Glover: Jack of all trades, Master of All.",https://youtu.be/RQN-DsmLF6Er,20,5429
Childish Gambino is that weird uncle on the reunion that spits out some truth,Bro he’s that uncle that tells the best jokes lmao its like he’s a comedian too :face_with_tears_of_joy::face_with_tears_of_joy:.,1,56
"ah so this is where Troy ended up after he left Community


I'm still confused",?,1,10
The sad fact this song has only gotten MORE relevant...,It's scary,1,262
"""Black man shot for jogging"" 
*This is America.*",:pensive_face:,186,7079
*I showed this to Joe biden he's now America's president*,YAASSSSSSSSS,1,20
"Christopher Columbus: *Discovers a new continent*
Amerigo Vespucci:
*THIS IS AMERICA*",only smart people understand,28,958
"this song has such a diferent feel now, holly shit",Nah. It has the same feeling.,1,11
2 years later and america is still the same... ThIs Is A fReE cOuNtRy,"Comparado a paises de medio oriente si.  Queres saber lo que es perder la libertad? andate a venezuela, cuba, etc.",14,145
"I see people commenting ""Did he predict the future?"". No, he's only retelling whats already happened in the past; we're just in a vicious cycle.","THIS. thank you. george floyd wasn’t the first and if we don’t change, he won’t be the last",151,18910
"Founding fathers when they signed the Declaration of Independence:




This is America",Lol,37,1199
"When you pause the video but the gunshots don’t stop




*this is america*",@Agyad Yahya literally,500,127272
"I guess all the people that disliked this don't like America, because that is what this video is. This video is America.",This is *A M E R I C A*,3,44
"As a horribly offensive, I find this American.",I can't wait for somebody to fail to realize there's a joke here,12,434
It's been 2 years and this song is still 100% valid.,It'll be valid for another 100yrs. If we all make it that long.,407,53271
"678k dislikes 






*Why are you booing him he's right*",lol nice one,21,587
This is America; so call me maybe,Yeah I came back here after watching that:face_with_tears_of_joy::face_with_tears_of_joy::face_with_tears_of_joy:,3,25
This song aged like the finest of wines.,Unfortunately,28,2218
"after 2 years, this is still america.












edit: CHECK MY RECENT RN",This is what America always has been,44,6015
This song is actually a masterpiece. Art is the best way to convey message,"I don't really think so, like I just listened to today because you know how if you listen to a song you haven't heard in awhile and you hear it with ""new ears"", a different perspective or catch something you missed but it's still the same to me him repeating this is a America and mumble rapping. I get the message of the song and it's not bad but I don't get the hype personally",1,17
This song should be played in the protests now.,"Some are playing this, what is the love and 2pacs songs:raised_fist_dark_skin_tone:",44,3780
"Who's stupid enough to ask: ""What does this song mean?""","Maybe I, cuz my English may be not good enough",4,4
"Trending again because this is in fact, still America","I see no Changes.



2Pac",46,4891
The president was just announced and listening to this song now hits different.,Truth!! Took on a whole new light... there is hope!!,7,127
"Its aged so well, he even got kids wearing masks on the top balcony.",I saw that! I had to rewind to make sure that I saw it right!,12,1392
"Rate this song on a scale  1 to America.

Me: This is America.",More like North Korea,2,74
